Student Name,Username,Password,Class,Section,Father's Name,Mother's Name,Mobile No.,DOB,Address,Email ID,Batch
STUDENTNAME21,1219215,DH91VG65,Class 12,Mom,FATHERSNAME21,MOTHERSNAME21,1234567890,25-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME22,1219161,YF32TC83,Class 12,Mom,FATHERSNAME22,MOTHERSNAME22,1234567890,26-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME23,1219102,IJ73IH89,Class 12,Mom,FATHERSNAME23,MOTHERSNAME23,1234567890,27-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME24,1219018,WW20BU99,Class 12,Mom,FATHERSNAME24,MOTHERSNAME24,1234567890,28-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME25,1219158,BP45XI19,Class 12,Mom,FATHERSNAME25,MOTHERSNAME25,1234567890,29-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME26,1219090,KP93AL73,Class 12,Mom,FATHERSNAME26,MOTHERSNAME26,1234567890,30-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME27,1219041,JY29YE82,Class 12,Mom,FATHERSNAME27,MOTHERSNAME27,1234567890,31-01-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME28,1219229,DI45YR68,Class 12,Mom,FATHERSNAME28,MOTHERSNAME28,1234567890,01-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME29,1219267,NP40NU90,Class 12,Mom,FATHERSNAME29,MOTHERSNAME29,1234567890,02-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME30,1219123,QF76JA63,Class 12,Mom,FATHERSNAME30,MOTHERSNAME30,1234567890,03-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME31,1219168,CM81GA93,Class 12,Mom,FATHERSNAME31,MOTHERSNAME31,1234567890,04-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME32,1219296,MQ93QD58,Class 12,Mom,FATHERSNAME32,MOTHERSNAME32,1234567890,05-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME33,1219194,GV21KA67,Class 12,Mom,FATHERSNAME33,MOTHERSNAME33,1234567890,06-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME34,1219116,WF67HB53,Class 12,Mom,FATHERSNAME34,MOTHERSNAME34,1234567890,07-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME35,1219226,PR93KP11,Class 12,Mom,FATHERSNAME35,MOTHERSNAME35,1234567890,08-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME36,1219069,EB75PY96,Class 12,Mom,FATHERSNAME36,MOTHERSNAME36,1234567890,09-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME37,1219132,MJ71BO39,Class 12,Mom,FATHERSNAME37,MOTHERSNAME37,1234567890,10-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME38,1219156,SU48TG82,Class 12,Mom,FATHERSNAME38,MOTHERSNAME38,1234567890,11-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME39,1219084,BY92EN93,Class 12,Mom,FATHERSNAME39,MOTHERSNAME39,1234567890,12-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME40,1219099,SK97TL80,Class 12,Mom,FATHERSNAME40,MOTHERSNAME40,1234567890,13-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME41,1219205,DF14GG92,Class 12,Mom,FATHERSNAME41,MOTHERSNAME41,1234567890,14-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME42,1219050,ZU66BY62,Class 12,Mom,FATHERSNAME42,MOTHERSNAME42,1234567890,15-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME43,1219013,UK90XU30,Class 12,Mom,FATHERSNAME43,MOTHERSNAME43,1234567890,16-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME44,1219019,XK72LK83,Class 12,Mom,FATHERSNAME44,MOTHERSNAME44,1234567890,17-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME45,1219012,LR50UQ33,Class 12,Mom,FATHERSNAME45,MOTHERSNAME45,1234567890,18-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME46,1219002,ZI49SP30,Class 12,Mom,FATHERSNAME46,MOTHERSNAME46,1234567890,19-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME47,1219209,RQ39BB84,Class 12,Mom,FATHERSNAME47,MOTHERSNAME47,1234567890,20-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME48,1219065,UP95LT26,Class 12,Mom,FATHERSNAME48,MOTHERSNAME48,1234567890,21-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME49,1219023,LL96GG52,Class 12,Mom,FATHERSNAME49,MOTHERSNAME49,1234567890,22-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME50,1219222,QV97XY49,Class 12,Mom,FATHERSNAME50,MOTHERSNAME50,1234567890,23-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME51,1219001,RW66DU77,Class 12,Mom,FATHERSNAME51,MOTHERSNAME51,1234567890,24-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME52,1219281,YO79KK57,Class 12,Mom,FATHERSNAME52,MOTHERSNAME52,1234567890,25-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME53,1219179,QR22VC96,Class 12,Mom,FATHERSNAME53,MOTHERSNAME53,1234567890,26-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME54,1219237,ZD84LU22,Class 12,Mom,FATHERSNAME54,MOTHERSNAME54,1234567890,27-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME55,1219066,NA40QV90,Class 12,Mom,FATHERSNAME55,MOTHERSNAME55,1234567890,28-02-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME56,1219255,VO88PV59,Class 12,Height,FATHERSNAME56,MOTHERSNAME56,1234567890,01-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME57,1219289,BN31PG33,Class 12,Height,FATHERSNAME57,MOTHERSNAME57,1234567890,02-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME58,1219010,PX13GJ15,Class 12,Height,FATHERSNAME58,MOTHERSNAME58,1234567890,03-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME59,1219103,GZ26JD18,Class 12,Height,FATHERSNAME59,MOTHERSNAME59,1234567890,04-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME60,1219131,LL71UM10,Class 12,Height,FATHERSNAME60,MOTHERSNAME60,1234567890,05-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME61,1219266,CG25JI74,Class 12,Height,FATHERSNAME61,MOTHERSNAME61,1234567890,06-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME62,1219020,RQ32QY75,Class 12,Height,FATHERSNAME62,MOTHERSNAME62,1234567890,07-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME63,1219043,UL16JT25,Class 12,Height,FATHERSNAME63,MOTHERSNAME63,1234567890,08-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME64,1219072,QV97XS62,Class 12,Height,FATHERSNAME64,MOTHERSNAME64,1234567890,09-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME65,1219313,LB21LW72,Class 12,Height,FATHERSNAME65,MOTHERSNAME65,1234567890,10-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME66,1219315,QT85EN32,Class 12,Height,FATHERSNAME66,MOTHERSNAME66,1234567890,11-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME67,1219324,PN70AU65,Class 12,Height,FATHERSNAME67,MOTHERSNAME67,1234567890,12-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME68,1219163,YR32EW74,Class 12,Height,FATHERSNAME68,MOTHERSNAME68,1234567890,13-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME69,1219165,FO86HQ34,Class 12,Height,FATHERSNAME69,MOTHERSNAME69,1234567890,14-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME70,1219067,CV84KG95,Class 12,Height,FATHERSNAME70,MOTHERSNAME70,1234567890,15-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME71,1219314,JK22AO78,Class 12,Height,FATHERSNAME71,MOTHERSNAME71,1234567890,16-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME72,1219295,ZZ86DB86,Class 12,Height,FATHERSNAME72,MOTHERSNAME72,1234567890,17-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME73,1219147,JV61NS57,Class 12,Height,FATHERSNAME73,MOTHERSNAME73,1234567890,18-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME74,1219093,YQ57FT22,Class 12,Height,FATHERSNAME74,MOTHERSNAME74,1234567890,19-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME75,1219120,EW66FY84,Class 12,Height,FATHERSNAME75,MOTHERSNAME75,1234567890,20-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME76,1219293,TN16XW43,Class 12,Height,FATHERSNAME76,MOTHERSNAME76,1234567890,21-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME77,1219149,WE16ZZ92,Class 12,Height,FATHERSNAME77,MOTHERSNAME77,1234567890,22-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME78,1219031,GL84BK41,Class 12,Height,FATHERSNAME78,MOTHERSNAME78,1234567890,23-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME79,1219075,ZT76AM77,Class 12,Height,FATHERSNAME79,MOTHERSNAME79,1234567890,24-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME80,1219070,FI25TE57,Class 12,Height,FATHERSNAME80,MOTHERSNAME80,1234567890,25-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME81,1219141,LD52EG99,Class 12,Height,FATHERSNAME81,MOTHERSNAME81,1234567890,26-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME82,1219253,CE57FA10,Class 12,Height,FATHERSNAME82,MOTHERSNAME82,1234567890,27-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME83,1219200,NI67CN59,Class 12,Height,FATHERSNAME83,MOTHERSNAME83,1234567890,28-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME84,1219268,XU99GE99,Class 12,Height,FATHERSNAME84,MOTHERSNAME84,1234567890,29-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME85,1219319,EO38NC78,Class 12,Height,FATHERSNAME85,MOTHERSNAME85,1234567890,30-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME86,1219011,BN60QD18,Class 12,Height,FATHERSNAME86,MOTHERSNAME86,1234567890,31-03-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME87,1219053,MH29BK60,Class 12,Height,FATHERSNAME87,MOTHERSNAME87,1234567890,01-04-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME88,1219233,YR59QM87,Class 12,Height,FATHERSNAME88,MOTHERSNAME88,1234567890,02-04-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME89,1219057,XW71IH53,Class 12,Height,FATHERSNAME89,MOTHERSNAME89,1234567890,03-04-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME90,1219095,JQ24OH98,Class 12,Height,FATHERSNAME90,MOTHERSNAME90,1234567890,04-04-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME91,1219045,JI69SK44,Class 12,Height,FATHERSNAME91,MOTHERSNAME91,1234567890,05-04-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME92,1219286,GQ14JK98,Class 12,Height,FATHERSNAME92,MOTHERSNAME92,1234567890,06-04-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME93,1219115,ZC27IX12,Class 12,Height,FATHERSNAME93,MOTHERSNAME93,1234567890,07-04-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME94,1219185,RR34UQ26,Class 12,Height,FATHERSNAME94,MOTHERSNAME94,1234567890,08-04-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME95,1219038,AX79KR48,Class 12,Height,FATHERSNAME95,MOTHERSNAME95,1234567890,09-04-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME96,1219106,KE31UJ49,Class 12,Height,FATHERSNAME96,MOTHERSNAME96,1234567890,10-04-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME97,1219240,NQ21JY13,Class 12,Height,FATHERSNAME97,MOTHERSNAME97,1234567890,11-04-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME98,1219105,NK99GA50,Class 12,Height,FATHERSNAME98,MOTHERSNAME98,1234567890,12-04-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME99,1219217,XK44MQ21,Class 12,Height,FATHERSNAME99,MOTHERSNAME99,1234567890,13-04-2002,ADDRESS,student@gmail.com,IIT
STUDENTNAME100,1219143,GY61BV60,Class 12,Height,FATHERSNAME100,MOTHERSNAME100,1234567890,14-04-2002,ADDRESS,student@gmail.com,IIT
